iter	Passed	Remaining
0	10	10403
1	21	10870
2	33	11279
3	44	11090
4	55	10955
5	66	10958
6	76	10922
7	87	10815
8	97	10729
9	107	10606
10	118	10644
11	129	10652
12	140	10652
13	151	10646
14	161	10590
15	171	10572
16	183	10581
17	195	10687
18	207	10691
19	219	10752
20	230	10765
21	241	10735
22	252	10725
23	265	10777
24	274	10722
25	285	10701
26	296	10681
27	305	10610
28	318	10657
29	329	10669
30	340	10634
31	350	10612
32	360	10575
33	370	10536
34	382	10535
35	392	10502
36	401	10439
37	411	10418
38	421	10380
39	432	10374
40	441	10327
41	451	10294
42	461	10272
43	470	10230
44	480	10194
45	490	10168
46	499	10132
47	509	10104
48	518	10056
49	527	10027
50	536	9981
51	545	9938
52	555	9920
53	564	9882
54	573	9849
55	582	9817
56	592	9800
57	601	9773
58	610	9742
59	621	9738
60	632	9733
61	642	9717
62	652	9704
63	661	9680
64	671	9658
65	681	9647
66	691	9633
67	702	9628
68	711	9599
69	721	9588
70	730	9562
71	740	9546
72	751	9546
73	761	9528
74	771	9513
75	780	9490
76	790	9474
77	801	9472
78	819	9556
79	833	9584
80	844	9580
81	855	9581
82	867	9585
83	878	9576
84	889	9579
85	900	9573
86	910	9554
87	920	9544
88	931	9530
89	941	9517
90	952	9510
91	962	9497
92	971	9477
93	982	9469
94	992	9451
95	1004	9457
96	1017	9476
97	1028	9468
98	1038	9451
99	1049	9448
100	1062	9454
101	1071	9430
102	1080	9409
103	1089	9385
104	1099	9369
105	1109	9355
106	1118	9334
107	1128	9317
108	1137	9296
109	1146	9278
110	1155	9252
111	1164	9234
112	1174	9221
113	1183	9199
114	1193	9183
115	1201	9157
116	1210	9137
117	1219	9112
118	1227	9089
119	1235	9063
120	1245	9049
121	1255	9038
122	1265	9021
123	1274	9002
124	1282	8979
125	1292	8963
126	1300	8941
127	1310	8930
128	1320	8913
129	1329	8894
130	1338	8879
131	1347	8862
132	1356	8843
133	1365	8823
134	1373	8802
135	1382	8783
136	1391	8766
137	1399	8742
138	1409	8728
139	1418	8711
140	1427	8694
141	1436	8680
142	1445	8660
143	1454	8643
144	1463	8627
145	1472	8614
146	1481	8598
147	1491	8587
148	1501	8573
149	1509	8554
150	1518	8535
151	1526	8518
152	1536	8503
153	1546	8496
154	1555	8481
155	1564	8465
156	1573	8450
157	1583	8437
158	1592	8423
159	1601	8406
160	1610	8391
161	1618	8374
162	1628	8360
163	1638	8352
164	1647	8338
165	1655	8318
166	1664	8303
167	1673	8288
168	1683	8279
169	1692	8265
170	1702	8253
171	1711	8237
172	1719	8220
173	1729	8209
174	1738	8193
175	1747	8183
176	1757	8171
177	1765	8155
178	1775	8142
179	1785	8132
180	1794	8119
181	1804	8110
182	1814	8099
183	1822	8084
184	1832	8072
185	1842	8062
186	1851	8049
187	1860	8037
188	1869	8021
189	1878	8010
190	1887	7995
191	1896	7983
192	1905	7968
193	1915	7958
194	1924	7943
195	1933	7931
196	1942	7919
197	1952	7907
198	1961	7897
199	1970	7883
200	1980	7872
201	1990	7862
202	1999	7849
203	2008	7838
204	2018	7828
205	2029	7821
206	2039	7814
207	2050	7808
208	2060	7797
209	2068	7782
210	2078	7771
211	2086	7755
212	2095	7744
213	2105	7732
214	2114	7720
215	2123	7708
216	2132	7695
217	2142	7686
218	2152	7676
219	2161	7664
220	2171	7654
221	2181	7645
222	2191	7635
223	2201	7625
224	2210	7613
225	2220	7604
226	2229	7593
227	2239	7583
228	2248	7570
229	2258	7561
230	2267	7550
231	2277	7539
232	2287	7529
233	2296	7517
234	2305	7505
235	2314	7493
236	2325	7485
237	2334	7475
238	2343	7463
239	2353	7451
240	2361	7438
241	2371	7427
242	2380	7417
243	2391	7409
244	2400	7397
245	2409	7386
246	2419	7376
247	2429	7367
248	2438	7355
249	2448	7346
250	2458	7335
251	2467	7324
252	2477	7313
253	2486	7302
254	2495	7291
255	2504	7279
256	2514	7270
257	2523	7258
258	2532	7246
259	2541	7234
260	2551	7224
261	2560	7212
262	2570	7202
263	2579	7191
264	2588	7179
265	2598	7169
266	2607	7159
267	2617	7148
268	2627	7139
269	2636	7128
270	2646	7119
271	2655	7108
272	2665	7099
273	2675	7088
274	2685	7079
275	2693	7066
276	2703	7056
277	2712	7045
278	2721	7034
279	2732	7025
280	2741	7014
281	2749	7001
282	2759	6991
283	2769	6981
284	2779	6972
285	2788	6961
286	2797	6950
287	2806	6938
288	2815	6927
289	2825	6917
290	2835	6908
291	2844	6897
292	2853	6885
293	2863	6875
294	2872	6863
